pier_id,label,pier_type,x,y,x_rel,y_rel,symbol_x0,symbol_y0,symbol_x1,symbol_y1
VP00115,P13,SAP,1101.224915,2129.6521,0.326773,0.89331,1098.930054,2128.540039,1103.640015,2133.25
VP00116,P14,SAP,1086.374939,2129.6521,0.322366,0.89331,1084.140015,2128.540039,1088.849976,2133.25
VP00117,P15,SAP,1071.554871,2129.682251,0.317969,0.893323,1069.319946,2128.540039,1074.029907,2133.25
VP00118,P16,SAP,1058.8349,2129.682251,0.314194,0.893323,1056.569946,2128.540039,1061.279907,2133.25
VP00119,P17,SAPEND,1048.214905,2129.682251,0.311043,0.893323,1046.849976,2127.910156,1049.669922,2133.879883
VP00120,P1,SAPEND,1286.234924,2136.85144,0.381672,0.89633,1284.869995,2134.98999,1287.689941,2140.959961
VP00121,P2,SAP,1275.5849,2136.791504,0.378512,0.896305,1273.290039,2135.590088,1278.0,2140.300049
VP00122,P3,SAP,1262.8349,2136.821533,0.374728,0.896318,1260.540039,2135.590088,1265.25,2140.300049
VP00123,P4,SAP,1247.954895,2136.85144,0.370313,0.89633,1245.75,2135.590088,1250.459961,2140.300049
VP00124,P5,SAP,1233.224915,2136.821533,0.365942,0.896318,1230.929932,2135.590088,1235.639893,2140.300049
VP00125,P6,SAP,1216.3349,2136.821533,0.36093,0.896318,1214.040039,2135.590088,1218.75,2140.300049
VP00126,P7,SAP,1201.454895,2136.85144,0.356515,0.89633,1199.219971,2135.590088,1203.929932,2140.300049
VP00127,P8,SAP,1184.59491,2136.821533,0.351512,0.896318,1182.329956,2135.590088,1187.039917,2140.300049
VP00128,P9,SMP,1168.544861,2136.791504,0.346749,0.896305,1165.890015,2135.290039,1171.26001,2140.660156
VP00129,P10,SAP,1152.404968,2136.672119,0.34196,0.896255,1150.140015,2135.590088,1154.849976,2140.300049
VP00130,P11,SAP,1135.544861,2136.792236,0.336957,0.896305,1133.25,2135.590088,1137.959961,2140.300049
VP00131,P12,SAP,1120.754944,2136.732178,0.332568,0.89628,1118.459961,2135.590088,1123.169922,2140.300049
VP00132,P13,SAP,1103.8349,2136.732178,0.327547,0.89628,1101.569946,2135.590088,1106.279907,2140.300049
VP00133,P14,SAP,1089.014954,2136.732178,0.32315,0.89628,1086.75,2135.590088,1091.459961,2140.300049
VP00134,P15,SAP,1074.194885,2136.732178,0.318752,0.89628,1071.930054,2135.590088,1076.640015,2140.300049
VP00135,P16,SAP,1061.444885,2136.762207,0.314969,0.896293,1059.180054,2135.590088,1063.890015,2140.300049
VP00136,P17,SAPEND,1050.82489,2136.762207,0.311817,0.896293,1049.459961,2134.98999,1052.280029,2140.959961
VP00137,P1,SAPEND,1288.84491,2143.901489,0.382447,0.899288,1287.47998,2142.040039,1290.299927,2148.01001
VP00138,P2,SAP,1278.194885,2143.87146,0.379286,0.899275,1275.900024,2142.669922,1280.609985,2147.379883
VP00139,P3,SAP,1265.444885,2143.901489,0.375503,0.899288,1263.150024,2142.669922,1267.859985,2147.379883
VP00140,P4,SAP,1250.59491,2143.931519,0.371096,0.8993,1248.359985,2142.669922,1253.069946,2147.379883
VP00141,P5,SAP,1235.8349,2143.901489,0.366717,0.899288,1233.540039,2142.669922,1238.25,2147.379883
VP00142,P6,SAP,1218.944885,2143.901489,0.361705,0.899288,1216.650024,2142.669922,1221.359985,2147.379883
VP00143,P7,SAP,1204.06488,2143.931519,0.357289,0.8993,1201.829956,2142.669922,1206.539917,2147.379883
VP00144,P8,SAP,1187.234924,2143.901489,0.352295,0.899288,1184.939941,2142.669922,1189.649902,2147.379883
VP00145,P9,SMP,1171.154968,2143.87146,0.347524,0.899275,1168.530029,2142.370117,1173.869995,2147.709961
VP00146,P10,SAP,1155.014954,2143.752197,0.342734,0.899225,1152.780029,2142.669922,1157.48999,2147.379883
VP00147,P11,SAP,1138.154968,2143.872314,0.337731,0.899275,1135.859985,2142.669922,1140.569946,2147.379883
VP00148,P12,SAP,1123.394958,2143.812256,0.333352,0.89925,1121.069946,2142.669922,1125.779907,2147.379883
VP00149,P13,SAP,1106.444885,2143.782227,0.328322,0.899238,1104.180054,2142.669922,1108.890015,2147.379883
VP00150,P14,SAP,1091.624939,2143.812256,0.323924,0.89925,1089.359985,2142.669922,1094.069946,2147.379883
VP00151,P15,SAP,1076.804871,2143.812256,0.319527,0.89925,1074.540039,2142.669922,1079.25,2147.379883
VP00152,P16,SAP,1064.054871,2143.812256,0.315743,0.89925,1061.819946,2142.669922,1066.529907,2147.379883
VP00153,P17,SAPEND,1053.434875,2143.842163,0.312592,0.899263,1052.069946,2142.040039,1054.919922,2148.01001
VP00154,P1,SAPEND,1291.454895,2150.981567,0.383221,0.902257,1290.089966,2149.120117,1292.909912,2155.090088
VP00155,P2,SAP,1280.804871,2150.951538,0.380061,0.902245,1278.51001,2149.75,1283.219971,2154.459961
VP00156,P3,SAP,1268.0849,2150.981567,0.376286,0.902257,1265.790039,2149.75,1270.5,2154.459961
VP00157,P4,SAP,1253.204895,2150.981567,0.371871,0.902257,1250.969971,2149.75,1255.679932,2154.459961
VP00158,P5,SAP,1238.444885,2150.981567,0.367491,0.902257,1236.150024,2149.75,1240.859985,2154.459961
VP00159,P6,SAP,1221.554871,2150.951538,0.362479,0.902245,1219.26001,2149.75,1223.969971,2154.459961
VP00160,P7,SAP,1206.704895,2150.981567,0.358073,0.902257,1204.439941,2149.75,1209.149902,2154.459961
VP00161,P8,SAP,1189.84491,2150.981567,0.35307,0.902257,1187.550049,2149.75,1192.26001,2154.459961
VP00162,P9,SMP,1173.764954,2150.951538,0.348298,0.902245,1171.140015,2149.419922,1176.47998,2154.790039
VP00163,P10,SAP,1157.654968,2150.832275,0.343518,0.902195,1155.390015,2149.75,1160.099976,2154.459961
VP00164,P11,SAP,1140.794861,2150.952271,0.338515,0.902245,1138.5,2149.75,1143.209961,2154.459961
VP00165,P12,SAP,1126.004944,2150.862183,0.334126,0.902207,1123.680054,2149.75,1128.390015,2154.459961
VP00166,P13,SAP,1109.054871,2150.862183,0.329096,0.902207,1106.790039,2149.75,1111.5,2154.459961
VP00167,P14,SAP,1094.234924,2150.862183,0.324699,0.902207,1091.969971,2149.75,1096.679932,2154.459961
VP00168,P15,SAP,1079.414856,2150.892334,0.320301,0.90222,1077.150024,2149.75,1081.859985,2154.459961
VP00169,P16,SAP,1066.694885,2150.892334,0.316527,0.90222,1064.430054,2149.75,1069.140015,2154.459961
VP00170,P17,SAPEND,1056.044861,2150.892334,0.313366,0.90222,1054.709961,2149.120117,1057.530029,2155.090088
VP00171,P1,SAPEND,1294.06488,2158.061523,0.383996,0.905227,1292.699951,2156.200195,1295.549927,2162.169922
VP00172,P2,SAP,1283.414856,2158.001587,0.380835,0.905202,1281.119995,2156.800049,1285.829956,2161.51001
VP00173,P3,SAP,1270.694885,2158.031494,0.377061,0.905215,1268.400024,2156.800049,1273.109985,2161.51001
VP00174,P4,SAP,1255.81488,2158.061523,0.372645,0.905227,1253.579956,2156.800049,1258.289917,2161.51001
VP00175,P5,SAP,1241.0849,2158.031494,0.368274,0.905215,1238.76001,2156.800049,1243.469971,2161.51001
VP00176,P6,SAP,1224.164856,2158.031494,0.363254,0.905215,1221.869995,2156.800049,1226.579956,2161.51001
VP00177,P7,SAP,1209.31488,2158.061523,0.358847,0.905227,1207.050049,2156.800049,1211.76001,2161.51001
VP00178,P8,SAP,1192.454895,2158.031494,0.353844,0.905215,1190.160034,2156.800049,1194.869995,2161.51001
VP00179,P9,SMP,1176.374939,2158.001587,0.349073,0.905202,1173.75,2156.5,1179.089966,2161.870117
VP00180,P10,SAP,1160.264954,2157.88208,0.344292,0.905152,1158.0,2156.800049,1162.709961,2161.51001
VP00181,P11,SAP,1143.404968,2158.002197,0.339289,0.905202,1141.109985,2156.800049,1145.819946,2161.51001
VP00182,P12,SAP,1128.614929,2157.942139,0.334901,0.905177,1126.290039,2156.800049,1131.0,2161.51001
VP00183,P13,SAP,1111.694885,2157.942139,0.32988,0.905177,1109.400024,2156.800049,1114.109985,2161.51001
VP00184,P14,SAP,1096.84491,2157.942139,0.325473,0.905177,1094.579956,2156.800049,1099.289917,2161.51001
VP00185,P15,SAP,1082.024963,2157.942139,0.321076,0.905177,1079.76001,2156.800049,1084.469971,2161.51001
VP00186,P16,SAP,1069.304871,2157.97229,0.317301,0.90519,1067.040039,2156.800049,1071.75,2161.51001
VP00187,P17,SAPEND,1058.654968,2157.97229,0.314141,0.90519,1057.319946,2156.200195,1060.140015,2162.169922
VP00188,P1,SAPEND,1296.704895,2165.111572,0.384779,0.908184,1295.309937,2163.25,1298.159912,2169.219971
VP00189,P2,SAP,1286.024963,2165.081543,0.38161,0.908172,1283.72998,2163.879883,1288.439941,2168.589844
VP00190,P3,SAP,1273.304871,2165.111572,0.377835,0.908184,1271.01001,2163.879883,1275.719971,2168.589844
VP00191,P4,SAP,1258.424866,2165.141479,0.37342,0.908197,1256.189941,2163.879883,1260.899902,2168.589844
VP00192,P5,SAP,1243.694885,2165.111572,0.369049,0.908184,1241.369995,2163.879883,1246.079956,2168.589844
VP00193,P6,SAP,1226.804871,2165.111572,0.364037,0.908184,1224.47998,2163.879883,1229.189941,2168.589844
VP00194,P7,SAP,1211.924866,2165.141479,0.359622,0.908197,1209.689941,2163.879883,1214.399902,2168.589844
VP00195,P8,SAP,1195.06488,2165.111572,0.354619,0.908184,1192.800049,2163.879883,1197.51001,2168.589844
VP00196,P9,SMP,1179.014954,2165.081543,0.349856,0.908172,1176.359985,2163.580078,1181.72998,2168.919922
VP00197,P10,SAP,1162.874939,2164.962158,0.345067,0.908122,1160.609985,2163.879883,1165.319946,2168.589844
VP00198,P11,SAP,1146.014954,2165.082275,0.340064,0.908172,1143.719971,2163.879883,1148.429932,2168.589844
VP00199,P12,SAP,1131.224915,2165.022217,0.335675,0.908147,1128.900024,2163.879883,1133.609985,2168.589844
VP00200,P13,SAP,1114.304871,2164.992188,0.330654,0.908134,1112.01001,2163.879883,1116.719971,2168.589844
VP00201,P14,SAP,1099.454895,2165.022217,0.326248,0.908147,1097.189941,2163.879883,1101.899902,2168.589844
VP00202,P15,SAP,1084.634949,2165.022217,0.32185,0.908147,1082.400024,2163.879883,1087.109985,2168.589844
VP00203,P16,SAP,1071.914856,2165.022217,0.318076,0.908147,1069.650024,2163.879883,1074.359985,2168.589844
VP00204,P17,SAPEND,1061.294861,2165.052246,0.314924,0.908159,1059.929932,2163.25,1062.75,2169.219971
VP00205,P1,SAPEND,1299.31488,2172.191528,0.385553,0.911154,1297.949951,2170.330078,1300.77002,2176.300049
VP00206,P2,SAP,1288.664856,2172.161499,0.382393,0.911142,1286.369995,2170.959961,1291.079956,2175.669922
VP00207,P3,SAP,1275.914856,2172.191528,0.37861,0.911154,1273.619995,2170.959961,1278.329956,2175.669922
VP00208,P4,SAP,1261.034851,2172.191528,0.374194,0.911154,1258.800049,2170.959961,1263.51001,2175.669922
VP00209,P5,SAP,1246.304871,2172.191528,0.369823,0.911154,1244.01001,2170.959961,1248.719971,2175.669922
VP00210,P6,SAP,1229.414856,2172.161499,0.364812,0.911142,1227.119995,2170.959961,1231.829956,2175.669922
VP00211,P7,SAP,1214.534851,2172.191528,0.360396,0.911154,1212.300049,2170.959961,1217.01001,2175.669922
VP00212,P8,SAP,1197.674866,2172.191528,0.355393,0.911154,1195.410034,2170.959961,1200.119995,2175.669922
VP00213,P9,SMP,1181.624939,2172.161499,0.350631,0.911142,1178.969971,2170.629883,1184.339966,2176.0
VP00214,P10,SAP,1165.484924,2172.042236,0.345841,0.911092,1163.219971,2170.959961,1167.929932,2175.669922
VP00215,P11,SAP,1148.624939,2172.162354,0.340838,0.911142,1146.329956,2170.959961,1151.039917,2175.669922
VP00216,P12,SAP,1133.8349,2172.072144,0.33645,0.911104,1131.51001,2170.959961,1136.219971,2175.669922
VP00217,P13,SAP,1116.914856,2172.072144,0.331429,0.911104,1114.619995,2170.959961,1119.329956,2175.669922
VP00218,P14,SAP,1102.06488,2172.072144,0.327022,0.911104,1099.829956,2170.959961,1104.539917,2175.669922
VP00219,P15,SAP,1087.244934,2172.102295,0.322625,0.911117,1085.01001,2170.959961,1089.719971,2175.669922
VP00220,P16,SAP,1074.524963,2172.102295,0.31885,0.911117,1072.26001,2170.959961,1076.969971,2175.669922
VP00221,P17,SAPEND,1063.904968,2172.102295,0.315699,0.911117,1062.539917,2170.330078,1065.359985,2176.300049
VP00222,P1,SAPEND,1301.924866,2179.271484,0.386328,0.914124,1300.559937,2177.410156,1303.380005,2183.379883
VP00223,P2,SAP,1291.274963,2179.211548,0.383168,0.914099,1288.97998,2178.01001,1293.689941,2182.719971
VP00224,P3,SAP,1278.524963,2179.241455,0.379384,0.914111,1276.22998,2178.01001,1280.939941,2182.719971
VP00225,P4,SAP,1263.644958,2179.271484,0.374969,0.914124,1261.439941,2178.01001,1266.149902,2182.719971
VP00226,P5,SAP,1248.914856,2179.241455,0.370598,0.914111,1246.619995,2178.01001,1251.329956,2182.719971
VP00227,P6,SAP,1232.024963,2179.241455,0.365586,0.914111,1229.72998,2178.01001,1234.439941,2182.719971
VP00228,P7,SAP,1217.144958,2179.271484,0.361171,0.914124,1214.910034,2178.01001,1219.619995,2182.719971
VP00229,P8,SAP,1200.284973,2179.241455,0.356168,0.914111,1198.02002,2178.01001,1202.72998,2182.719971
VP00230,P9,SMP,1184.234924,2179.211548,0.351405,0.914099,1181.579956,2177.709961,1186.949951,2183.080078
VP00231,P10,SAP,1168.09491,2179.092163,0.346616,0.914049,1165.829956,2178.01001,1170.539917,2182.719971
VP00232,P11,SAP,1151.234924,2179.212158,0.341613,0.914099,1148.939941,2178.01001,1153.649902,2182.719971
VP00233,P12,SAP,1136.444885,2179.1521,0.337224,0.914074,1134.150024,2178.01001,1138.859985,2182.719971
VP00234,P13,SAP,1119.524963,2179.1521,0.332203,0.914074,1117.26001,2178.01001,1121.969971,2182.719971
VP00235,P14,SAP,1104.704895,2179.1521,0.327806,0.914074,1102.439941,2178.01001,1107.149902,2182.719971
VP00236,P15,SAP,1089.884949,2179.1521,0.323408,0.914074,1087.619995,2178.01001,1092.329956,2182.719971
VP00237,P16,SAP,1077.134949,2179.182251,0.319625,0.914087,1074.869995,2178.01001,1079.579956,2182.719971
VP00238,P17,SAPEND,1066.514954,2179.182251,0.316473,0.914087,1065.150024,2177.410156,1067.969971,2183.379883
