set_id,set_size,x_center,y_center,x_rel,y_rel,x_min,x_max,y_min,y_max,sap,sape,sapend,smp
S054,19,2552.5,3093.421,0.270507,0.463434,2542.0,2562.0,2937.0,3264.5,14,2,2,1
S055,19,2581.026,5306.605,0.27353,0.794997,2581.0,2581.5,4979.0,5637.0,14,2,2,1
S056,19,2601.026,5307.842,0.275649,0.795182,2601.0,2601.5,4980.5,5638.0,14,2,2,1
S057,19,2620.974,3226.947,0.277763,0.483438,2620.5,2621.0,2899.5,3557.0,14,2,2,1
S058,19,2640.947,3214.368,0.27988,0.481553,2640.0,2641.0,2887.0,3544.5,14,2,2,1
S059,6,2898.0,4874.667,0.307122,0.730287,2898.0,2898.0,4813.0,4952.0,1,2,2,1
S060,6,2918.0,4876.083,0.309241,0.730499,2918.0,2918.0,4814.0,4954.0,1,2,2,1
S061,11,3116.0,4831.864,0.330225,0.723875,3116.0,3116.0,4670.5,4996.0,6,2,2,1
S062,11,3135.955,4833.023,0.332339,0.724048,3135.5,3136.0,4671.5,4997.0,6,2,2,1
S063,19,3274.026,2811.632,0.346972,0.421218,3274.0,3274.5,2484.5,3142.0,14,2,2,1
S064,19,3294.053,2798.895,0.349094,0.41931,3294.0,3295.0,2471.5,3129.0,14,2,2,1
S065,19,3353.237,2761.079,0.355366,0.413645,3353.0,3356.5,2434.0,3091.0,14,2,2,1
S066,19,3373.079,2748.447,0.357469,0.411752,3373.0,3374.0,2421.5,3079.0,14,2,2,1
S067,15,3690.017,4551.417,0.391057,0.68186,3690.0,3690.25,4302.5,4794.0,10,2,2,1
S068,15,3710.033,4541.667,0.393179,0.6804,3710.0,3710.5,4293.0,4784.0,10,2,2,1
S069,19,4026.25,2333.132,0.42669,0.349533,4025.5,4026.5,2006.0,2663.0,14,2,2,1
S070,19,4046.026,2320.579,0.428786,0.347652,4046.0,4046.5,1993.5,2651.0,14,2,2,1
S071,19,4105.974,2282.816,0.435139,0.341995,4105.5,4106.0,1955.5,2613.0,14,2,2,1
S072,19,4125.395,2270.237,0.437197,0.34011,4125.0,4125.5,1943.0,2600.0,14,2,2,1
S073,19,4640.0,1266.132,0.491734,0.189683,4640.0,4640.0,939.0,1596.0,14,2,2,1
S074,19,4640.0,1942.158,0.491734,0.29096,4640.0,4640.0,1615.0,2272.0,14,2,2,1
S075,19,4660.0,1253.605,0.493853,0.187806,4660.0,4660.0,926.5,1584.0,14,2,2,1
S076,19,4660.0,1929.605,0.493853,0.289079,4660.0,4660.0,1602.5,2260.0,14,2,2,1
S077,19,4719.026,1883.671,0.500109,0.282198,4719.0,4719.5,1556.5,2214.0,14,2,2,1
S078,19,4738.974,1871.026,0.502223,0.280304,4738.5,4739.0,1544.0,2201.0,14,2,2,1
S079,15,4739.0,1282.5,0.502226,0.192135,4739.0,4739.0,1033.5,1525.0,10,2,2,1
S080,19,4739.0,3961.132,0.502226,0.593428,4739.0,4739.0,3634.0,4291.0,14,2,2,1
S081,15,4759.0,1270.067,0.504345,0.190272,4759.0,4759.0,1021.5,1513.0,10,2,2,1
S082,19,4759.0,3951.684,0.504345,0.592013,4759.0,4759.0,3624.5,4282.0,14,2,2,1
S083,9,4847.667,838.278,0.513742,0.125585,4827.0,4870.0,775.0,904.0,4,2,2,1
S084,5,4850.0,1151.0,0.513989,0.172434,4838.0,4858.0,1124.0,1180.5,0,2,2,1
S085,17,4847.412,1333.294,0.513715,0.199744,4838.0,4858.0,1193.0,1462.0,12,2,2,1
