symbol_id,shape,x,y,x_rel,y_rel,hits
P1319,circle,1849.0,3685.0,0.195952,0.55206,1
P1320,circle,1255.0,3685.5,0.133001,0.552135,1
P1321,circle,4759.0,3687.0,0.504345,0.55236,1
P1322,circle,6422.0,3687.0,0.680585,0.55236,1
P1323,circle,1948.0,3689.0,0.206443,0.552659,1
P1324,circle,1473.0,3693.0,0.156104,0.553258,1
P1325,diamond,1169.5,3694.5,0.12394,0.553483,1
P1326,circle,1413.0,3695.0,0.149746,0.553558,1
P1327,circle,4739.0,3696.0,0.502226,0.553708,1
P1328,circle,1928.0,3701.0,0.204324,0.554457,1
P1329,circle,1453.0,3705.0,0.153985,0.555056,1
P1330,diamond,1868.5,3705.5,0.198018,0.555131,1
P1331,diamond,1354.0,3706.0,0.143493,0.555206,1
P1332,circle,1394.0,3707.0,0.147732,0.555356,1
P1333,circle,1275.0,3709.0,0.135121,0.555655,1
P1334,circle,1809.0,3709.0,0.191713,0.555655,1
P1335,diamond,1849.0,3718.0,0.195952,0.557004,1
P1336,diamond,1334.0,3718.5,0.141373,0.557079,1
P1337,circle,1255.0,3721.0,0.133001,0.557453,1
P1338,circle,1789.5,3721.0,0.189646,0.557453,1
P1339,circle,6442.0,3721.0,0.682705,0.557453,1
P1340,circle,4759.0,3722.0,0.504345,0.557603,1
P1341,circle,1413.0,3725.0,0.149746,0.558052,1
P1342,diamond,6501.0,3725.5,0.688957,0.558127,1
P1343,circle,1473.0,3728.0,0.156104,0.558502,1
P1344,circle,6422.0,3728.0,0.680585,0.558502,1
P1345,circle,1948.0,3730.0,0.206443,0.558801,1
P1346,circle,4739.0,3732.0,0.502226,0.559101,1
P1347,circle,1354.0,3732.5,0.143493,0.559176,1
P1348,diamond,6481.0,3732.5,0.686838,0.559176,1
P1349,circle,1394.0,3737.0,0.147732,0.55985,1
P1350,circle,1275.0,3738.0,0.135121,0.56,1
P1351,circle,1869.0,3739.0,0.198071,0.56015,1
P1352,circle,1453.0,3741.0,0.153985,0.560449,1
P1353,diamond,1809.5,3742.5,0.191766,0.560674,1
P1354,circle,1928.0,3743.0,0.204324,0.560749,1
P1355,circle,1334.0,3745.0,0.141373,0.561049,1
P1356,circle,1255.0,3751.0,0.133001,0.561948,1
P1357,circle,1849.0,3752.0,0.195952,0.562097,1
P1358,circle,6501.0,3752.0,0.688957,0.562097,1
P1359,diamond,1789.5,3754.5,0.189646,0.562472,1
P1360,circle,6442.0,3756.5,0.682705,0.562772,1
P1361,circle,6481.0,3759.0,0.686838,0.563146,1
P1362,circle,1413.0,3760.0,0.149746,0.563296,1
P1363,circle,1354.0,3762.0,0.143493,0.563596,1
P1364,circle,4759.0,3764.0,0.504345,0.563895,1
P1365,circle,6422.0,3764.0,0.680585,0.563895,1
P1366,circle,1948.0,3766.0,0.206443,0.564195,1
P1367,circle,1473.0,3770.0,0.156104,0.564794,1
P1368,circle,1394.0,3773.0,0.147732,0.565243,1
P1369,circle,4739.0,3773.0,0.502226,0.565243,1
P1370,circle,1334.0,3775.0,0.141373,0.565543,1
P1371,circle,1809.0,3776.0,0.191713,0.565693,1
P1372,circle,1928.0,3778.5,0.204324,0.566067,1
P1373,circle,1869.0,3780.5,0.198071,0.566367,1
P1374,circle,1453.0,3782.0,0.153985,0.566592,1
P1375,circle,1789.5,3788.0,0.189646,0.567491,1
P1376,circle,6501.0,3788.0,0.688957,0.567491,1
P1377,circle,1849.0,3793.0,0.195952,0.56824,1
P1378,circle,6481.0,3795.0,0.686838,0.568539,1
P1379,circle,1413.0,3796.0,0.149746,0.568689,1
P1380,circle,1354.0,3798.0,0.143493,0.568989,1
P1381,circle,6442.0,3798.0,0.682705,0.568989,1
P1382,circle,4759.0,3799.5,0.504345,0.569213,1
P1383,circle,6422.0,3805.0,0.680585,0.570037,1
P1384,circle,1473.0,3805.5,0.156104,0.570112,1
P1385,circle,1948.0,3807.0,0.206443,0.570337,1
P1386,circle,1394.0,3808.5,0.147732,0.570562,1
P1387,circle,4739.0,3809.0,0.502226,0.570637,1
P1388,diamond,1228.5,3811.0,0.130193,0.570936,1
P1389,circle,1334.0,3811.0,0.141373,0.570936,1
P1390,circle,1869.0,3816.0,0.198071,0.571685,1
P1391,circle,1453.0,3818.0,0.153985,0.571985,1
P1392,circle,1809.0,3818.0,0.191713,0.571985,1
P1393,diamond,1232.0,3818.5,0.130564,0.57206,1
P1394,circle,1928.0,3820.0,0.204324,0.572285,1
P1395,circle,6501.0,3823.0,0.688957,0.572734,1
P1396,circle,1789.5,3829.0,0.189646,0.573633,1
P1397,circle,1849.0,3829.0,0.195952,0.573633,1
P1398,diamond,1413.5,3829.5,0.149799,0.573708,1
P1399,circle,6481.0,3831.0,0.686838,0.573933,1
P1400,circle,1354.0,3834.0,0.143493,0.574382,1
P1401,circle,6442.0,3834.0,0.682705,0.574382,1
P1402,circle,4759.0,3841.0,0.504345,0.575431,1
P1403,circle,6422.0,3841.0,0.680585,0.575431,1
P1404,diamond,1394.0,3842.0,0.147732,0.575581,1
P1405,circle,1948.0,3843.0,0.206443,0.57573,1
P1406,circle,1334.0,3846.0,0.141373,0.57618,1
P1407,circle,1473.0,3847.0,0.156104,0.57633,1
P1408,circle,4739.0,3850.0,0.502226,0.576779,1
P1409,circle,1809.0,3853.0,0.191713,0.577228,1
P1410,circle,1928.0,3856.0,0.204324,0.577678,1
P1411,circle,1869.0,3858.0,0.198071,0.577978,1
P1412,circle,1453.0,3859.5,0.153985,0.578202,1
P1413,circle,1413.0,3863.0,0.149746,0.578727,1
P1414,circle,1789.5,3865.0,0.189646,0.579026,1
P1415,circle,6501.0,3865.0,0.688957,0.579026,1
P1416,diamond,1354.0,3867.0,0.143493,0.579326,1
P1417,circle,1849.0,3870.0,0.195952,0.579775,1
P1418,circle,6481.0,3872.0,0.686838,0.580075,1
P1419,circle,1394.0,3875.0,0.147732,0.580524,1
P1420,circle,6442.0,3875.0,0.682705,0.580524,1
P1421,circle,4759.0,3877.0,0.504345,0.580824,1
P1422,diamond,1334.5,3879.5,0.141426,0.581199,1
P1423,circle,6422.0,3882.0,0.680585,0.581573,1
P1424,circle,1473.0,3883.0,0.156104,0.581723,1
P1425,diamond,6521.0,3884.0,0.691077,0.581873,1
P1426,circle,1948.0,3884.5,0.206443,0.581948,1
P1427,circle,4739.0,3886.0,0.502226,0.582172,1
P1428,circle,1869.0,3893.0,0.198071,0.583221,1
P1429,circle,1453.0,3895.0,0.153985,0.583521,1
P1430,circle,1809.0,3895.0,0.191713,0.583521,1
P1431,circle,1928.0,3897.0,0.204324,0.58382,1
P1432,circle,1413.0,3898.0,0.149746,0.58397,1
P1433,circle,6501.0,3900.5,0.688957,0.584345,1
P1434,circle,1790.0,3906.0,0.189699,0.585169,1
P1435,circle,1849.0,3906.0,0.195952,0.585169,1
P1436,circle,6481.0,3908.0,0.686838,0.585468,1
P1437,diamond,6441.5,3908.5,0.682652,0.585543,1
P1438,circle,1394.0,3911.0,0.147732,0.585918,1
P1439,circle,6521.0,3911.0,0.691077,0.585918,1
P1440,diamond,6621.0,3914.5,0.701674,0.586442,1
P1441,diamond,6422.0,3916.0,0.680585,0.586667,1
P1442,circle,4759.0,3918.0,0.504345,0.586966,1
P1443,circle,1948.0,3920.0,0.206443,0.587266,1
P1444,circle,1473.0,3924.0,0.156104,0.587865,1
P1445,circle,4739.0,3928.0,0.502226,0.588464,1
P1446,diamond,1289.0,3930.0,0.136604,0.588764,1
P1447,circle,1809.0,3930.0,0.191713,0.588764,1
P1448,circle,1928.0,3933.0,0.204324,0.589213,1
P1449,circle,1413.0,3934.0,0.149746,0.589363,1
P1450,circle,1869.0,3935.0,0.198071,0.589513,1
P1451,circle,1453.0,3937.0,0.153985,0.589813,1
P1452,circle,6521.0,3940.0,0.691077,0.590262,1
P1453,circle,1789.5,3942.0,0.189646,0.590562,1
P1454,circle,6442.0,3942.0,0.682705,0.590562,1
P1455,circle,6501.0,3942.0,0.688957,0.590562,1
P1456,circle,1394.0,3947.0,0.147732,0.591311,1
P1457,circle,1849.0,3947.0,0.195952,0.591311,1
P1458,circle,6422.0,3949.0,0.680585,0.59161,1
P1459,circle,6481.0,3949.0,0.686838,0.59161,1
P1460,diamond,4759.0,3951.5,0.504345,0.591985,1
P1461,circle,1948.0,3956.0,0.206443,0.592659,1
P1462,diamond,1472.5,3957.5,0.156051,0.592884,1
P1463,diamond,4739.0,3961.0,0.502226,0.593408,1
P1464,circle,1413.0,3964.0,0.149746,0.593858,1
P1465,circle,1928.0,3968.0,0.204324,0.594457,1
P1466,diamond,1453.0,3970.0,0.153985,0.594757,1
P1467,circle,1869.0,3970.5,0.198071,0.594831,1
P1468,circle,1809.0,3972.0,0.191713,0.595056,1
P1469,circle,6521.0,3976.0,0.691077,0.595655,1
P1470,circle,1394.0,3976.5,0.147732,0.59573,1
P1471,circle,6501.0,3978.0,0.688957,0.595955,1
P1472,circle,1849.0,3983.0,0.195952,0.596704,1
P1473,circle,6442.0,3983.0,0.682705,0.596704,1
P1474,circle,1790.0,3983.5,0.189699,0.596779,1
P1475,circle,4759.0,3985.0,0.504345,0.597004,1
P1476,circle,6481.0,3985.0,0.686838,0.597004,1
