block_number,row,tracker,total_piers,HAP,HMP,SAP,SAPE,SAPEND,SMP,pier_labels
1,105,2,12,0,0,9,1,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12
1,105,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,106,1,11,0,0,8,2,0,1,P1 P2 P3 P4 P5 P6 P8 P9 P10 P11 P12
1,106,2,12,0,0,9,1,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12
1,106,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,107,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,107,2,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,107,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,108,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,108,2,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,109,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,109,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,110,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,110,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,111,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,111,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,112,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,112,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,113,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,113,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
